"County_ID","County_Type","County_Name","Province_Type","Province_Name","Region_Name","Region_Type","State_ID","Country"
"35000000",".","","350001","N/A","N/A","350002","3500000",""
"35000001",".","","350001","Ain","Rhône-Alpes","350002","3500000",""
"35000002",".","","350001","Aisne","Picardie","350002","3500000",""
"35000003",".","","350001","Allier","Auvergne","350002","3500000",""
"35000004",".","","350001","Alpes-de-Haute-Provence","Provence-Alpes-Côte-d'Azur","350002","3500000",""
"35000005",".","","350001","Hautes-Alpes","Provence-Alpes-Côte-d'Azur","350002","3500000",""
"35000006",".","","350001","Alpes-Maritimes","Provence-Alpes-Côte-d'Azur","350002","3500000",""
"35000007",".","","350001","Ardeche","Rhône-Alpes","350002","3500000",""
"35000008",".","","350001","Ardennes","Champagne-Ardenne","350002","3500000",""
"35000009",".","","350001","Ariege","Midi-Pyrénées","350002","3500000",""
"35000010",".","","350001","Aube","Champagne-Ardenne","350002","3500000",""
"35000011",".","","350001","Aude","Languedoc-Roussillon","350002","3500000",""
"35000012",".","","350001","Aveyron","Midi-Pyrénées","350002","3500000",""
"35000013",".","","350001","Bouches-du-Rhone","Provence-Alpes-Côte-d'Azur","350002","3500000",""
"35000014",".","","350001","Calvados","Basse-Normandie","350002","3500000",""
"35000015",".","","350001","Cantal","Auvergne","350002","3500000",""
"35000016",".","","350001","Charente","Poitou-Charentes","350002","3500000",""
"35000017",".","","350001","Charente-Maritime","Poitou-Charentes","350002","3500000",""
"35000018",".","","350001","Cher","Centre","350002","3500000",""
"35000019",".","","350001","Correze","Limousin","350002","3500000",""
"35000021",".","","350001","Cote-d'Or","Bourgogne","350002","3500000",""
"35000022",".","","350001","Cotes-d'Armor","Bretagne","350002","3500000",""
"35000023",".","","350001","Creuse","Limousin","350002","3500000",""
"35000024",".","","350001","Dordogne","Aquitaine","350002","3500000",""
"35000025",".","","350001","Doubs","Franche-Comté","350002","3500000",""
"35000026",".","","350001","Drome","Rhône-Alpes","350002","3500000",""
"35000027",".","","350001","Eure","Haute-Normandie","350002","3500000",""
"35000028",".","","350001","Eure-Et-Loir","Centre","350002","3500000",""
"35000029",".","","350001","Finistere","Bretagne","350002","3500000",""
"35000030",".","","350001","Gard","Languedoc-Roussillon","350002","3500000",""
"35000031",".","","350001","Haute-Garonne","Midi-Pyrénées","350002","3500000",""
"35000032",".","","350001","Gers","Midi-Pyrénées","350002","3500000",""
"35000033",".","","350001","Gironde","Aquitaine","350002","3500000",""
"35000034",".","","350001","Herault","Languedoc-Roussillon","350002","3500000",""
"35000035",".","","350001","Ille-Et-Vilaine","Bretagne","350002","3500000",""
"35000036",".","","350001","Indre","Centre","350002","3500000",""
"35000037",".","","350001","Indre-Et-Loire","Centre","350002","3500000",""
"35000038",".","","350001","Isere","Rhône-Alpes","350002","3500000",""
"35000039",".","","350001","Jura","Franche-Comté","350002","3500000",""
"35000040",".","","350001","Landes","Aquitaine","350002","3500000",""
"35000041",".","","350001","Loir-Et-Cher","Centre","350002","3500000",""
"35000042",".","","350001","Loire","Rhône-Alpes","350002","3500000",""
"35000043",".","","350001","Haute-Loire","Auvergne","350002","3500000",""
"35000044",".","","350001","Loire-Atlantique","Pays-de-la-Loire","350002","3500000",""
"35000045",".","","350001","Loiret","Centre","350002","3500000",""
"35000046",".","","350001","Lot","Midi-Pyrénées","350002","3500000",""
"35000047",".","","350001","Lot-Et-Garonne","Aquitaine","350002","3500000",""
"35000048",".","","350001","Lozere","Languedoc-Roussillon","350002","3500000",""
"35000049",".","","350001","Maine-Et-Loire","Pays-de-la-Loire","350002","3500000",""
"35000050",".","","350001","Manche","Basse-Normandie","350002","3500000",""
