"Product_ID","Start_Date","End_Date","Unit_Cost_Price","Unit_Sales_Price","Factor"
"210100100001","01JAN1998","31DEC9999","$31.00","$67.80","1.00"
"210100100002","01JAN1998","22JAN1999","$55.15","$128.10","1.04"
"210100100002","23JAN1999","13FEB2000","$56.80","$131.90","1.03"
"210100100002","14FEB2000","06MAR2001","$57.90","$134.50","1.02"
"210100100002","07MAR2001","28MAR2002","$58.45","$135.80","1.01"
"210100100002","29MAR2002","31DEC9999","$58.45","$135.80","1.00"
"210100100003","01JAN1998","31DEC9999","$31.10","$69.90","1.00"
"210100100004","01JAN1998","31DEC9999","$27.85","$60.90","1.00"
"210100100005","01JAN1998","31DEC9999","$16.15","$38.60","1.00"
"210100100006","01JAN1998","31DEC9999","$18.35","$40.50","1.00"
"210100100007","01JAN1998","31DEC9999","$36.15","$77.60","1.00"
"210100100008","01JAN1998","31DEC9999","$30.80","$61.90","1.00"
"210100100009","01JAN1998","31DEC9999","$32.10","$70.40","1.00"
"210100100010","01JAN1998","31DEC9999","$54.80","$123.00","1.00"
"210100100011","01JAN1998","14JAN1999","$4.85","$11.80","1.05"
"210100100011","15JAN1999","28JAN2000","$5.00","$12.20","1.04"
"210100100011","29JAN2000","10FEB2001","$5.15","$12.50","1.03"
"210100100011","11FEB2001","24FEB2002","$5.20","$12.60","1.01"
"210100100011","25FEB2002","31DEC9999","$5.20","$12.60","1.00"
"210100100012","01JAN1998","31DEC9999","$28.70","$64.50","1.00"
"210100100013","01JAN1998","31DEC9999","$33.65","$67.10","1.00"
"210100100014","01JAN1998","31DEC9999","$21.60","$47.70","1.00"
"210100100015","01JAN1998","31DEC9999","$24.35","$48.50","1.00"
"210100100016","01JAN1998","31DEC9999","$20.90","$41.60","1.00"
"210100100017","01JAN1998","31DEC9999","$25.05","$49.90","1.00"
"210100100018","01JAN1998","31DEC9999","$10.55","$24.10","1.00"
"210100100019","01JAN1998","31DEC9999","$37.30","$83.50","1.00"
"210100100020","01JAN1998","31DEC9999","$17.00","$38.20","1.00"
"210100100021","01JAN1998","31DEC9999","$32.20","$61.30","1.00"
"210100100022","01JAN1998","31DEC9999","$22.55","$44.90","1.00"
"210100100023","01JAN1998","21NOV1998","$15.75","$37.60","1.04"
"210100100023","22NOV1998","12OCT1999","$16.20","$38.70","1.03"
"210100100023","13OCT1999","01SEP2000","$16.65","$39.80","1.03"
"210100100023","02SEP2000","23JUL2001","$17.10","$40.90","1.03"
"210100100023","24JUL2001","13JUN2002","$17.25","$41.30","1.01"
"210100100023","14JUN2002","31DEC9999","$17.25","$41.30","1.00"
"210100100024","01JAN1998","12JAN1999","$4.80","$12.30","1.02"
"210100100024","13JAN1999","24JAN2000","$4.85","$12.50","1.02"
"210100100024","25JAN2000","04FEB2001","$4.85","$12.60","1.01"
"210100100024","05FEB2001","16FEB2002","$4.85","$12.60","1.00"
"210100100024","17FEB2002","31DEC9999","$4.85","$12.60","1.00"
"210100100025","01JAN1998","31DEC9999","$18.50","$40.90","1.00"
"210100100026","01JAN1998","14JAN1999","$4.30","$11.50","1.05"
"210100100026","15JAN1999","28JAN2000","$4.45","$11.90","1.04"
"210100100026","29JAN2000","10FEB2001","$4.55","$12.20","1.03"
"210100100026","11FEB2001","24FEB2002","$4.60","$12.40","1.02"
"210100100026","25FEB2002","31DEC9999","$4.60","$12.50","1.01"
"210100100027","01JAN1998","22DEC1998","$8.60","$21.60","1.03"
"210100100027","23DEC1998","13DEC1999","$8.75","$22.00","1.02"
"210100100027","14DEC1999","03DEC2000","$8.80","$22.20","1.01"
"210100100027","04DEC2000","24NOV2001","$8.80","$22.20","1.00"
"210100100027","25NOV2001","15NOV2002","$8.80","$22.20","1.00"
"210100100027","16NOV2002","31DEC9999","$8.80","$22.20","1.00"
"210100100028","01JAN1998","31DEC9999","$11.40","$26.00","1.00"
"210100100029","01JAN1998","11JAN1999","$10.35","$24.50","1.03"
"210100100029","12JAN1999","22JAN2000","$10.55","$24.90","1.02"
"210100100029","23JAN2000","01FEB2001","$10.75","$25.30","1.02"
"210100100029","02FEB2001","12FEB2002","$10.85","$25.50","1.01"
"210100100029","13FEB2002","31DEC9999","$10.85","$25.50","1.00"
"210100100030","01JAN1998","19JAN1999","$16.80","$40.10","1.02"
"210100100030","20JAN1999","07FEB2000","$17.10","$40.90","1.02"
"210100100030","08FEB2000","25FEB2001","$17.40","$41.70","1.02"
"210100100030","26FEB2001","16MAR2002","$17.55","$42.10","1.01"
"210100100030","17MAR2002","31DEC9999","$17.55","$42.10","1.00"
"210100100031","01JAN1998","31DEC9999","$15.55","$34.90","1.00"
"210100100032","01JAN1998","21NOV1998","$53.05","$116.30","1.04"
"210100100032","22NOV1998","12OCT1999","$55.15","$120.90","1.04"
"210100100032","13OCT1999","01SEP2000","$57.35","$125.70","1.04"
"210100100032","02SEP2000","23JUL2001","$59.05","$129.40","1.03"
"210100100032","24JUL2001","13JUN2002","$59.60","$130.60","1.01"
"210100100032","14JUN2002","31DEC9999","$59.60","$130.60","1.00"
"210100100033","01JAN1998","10DEC1998","$96.85","$197.20","1.04"
"210100100033","11DEC1998","19NOV1999","$100.70","$205.00","1.04"
"210100100033","20NOV1999","28OCT2000","$103.70","$211.10","1.03"
"210100100033","29OCT2000","07OCT2001","$105.75","$215.30","1.02"
"210100100033","08OCT2001","16SEP2002","$105.75","$215.30","1.00"
"210100100033","17SEP2002","31DEC9999","$105.75","$215.30","1.00"
"210100100034","01JAN1998","18DEC1998","$122.85","$269.80","1.05"
"210100100034","19DEC1998","05DEC1999","$128.95","$283.20","1.05"
"210100100034","06DEC1999","21NOV2000","$135.35","$297.30","1.05"
"210100100034","22NOV2000","08NOV2001","$139.40","$306.20","1.03"
"210100100034","09NOV2001","26OCT2002","$140.75","$309.20","1.01"
"210100100034","27OCT2002","31DEC9999","$140.75","$309.20","1.00"
"210100100035","01JAN1998","24NOV1998","$96.50","$211.30","1.04"
"210100100035","25NOV1998","18OCT1999","$100.35","$219.70","1.04"
"210100100035","19OCT1999","10SEP2000","$103.35","$226.20","1.03"
"210100100035","11SEP2000","04AUG2001","$106.45","$232.90","1.03"
"210100100035","05AUG2001","28JUN2002","$107.50","$235.20","1.01"
"210100100035","29JUN2002","31DEC9999","$107.50","$235.20","1.00"
"210100100036","01JAN1998","23NOV1998","$11.10","$24.50","1.03"
"210100100036","24NOV1998","16OCT1999","$11.40","$25.20","1.03"
"210100100036","17OCT1999","07SEP2000","$11.70","$25.90","1.03"
"210100100036","08SEP2000","31JUL2001","$11.90","$26.40","1.02"
"210100100036","01AUG2001","23JUN2002","$12.00","$26.60","1.01"
"210100100036","24JUN2002","31DEC9999","$12.00","$26.60","1.00"
"210100100037","01JAN1998","13DEC1998","$13.25","$29.20","1.05"
"210100100037","14DEC1998","25NOV1999","$13.90","$30.60","1.05"
"210100100037","26NOV1999","06NOV2000","$14.45","$31.80","1.04"
"210100100037","07NOV2000","19OCT2001","$14.70","$32.40","1.02"
"210100100037","20OCT2001","01OCT2002","$14.80","$32.70","1.01"
"210100100037","02OCT2002","31DEC9999","$14.80","$32.70","1.00"
"210100100038","01JAN1998","17NOV1998","$38.00","$85.80","1.05"
"210100100038","18NOV1998","04OCT1999","$39.50","$89.20","1.04"
"210100100038","05OCT1999","20AUG2000","$40.65","$91.80","1.03"
"210100100038","21AUG2000","07JUL2001","$41.85","$94.50","1.03"
"210100100038","08JUL2001","24MAY2002","$42.65","$96.30","1.02"
"210100100038","25MAY2002","31DEC9999","$42.65","$96.30","1.00"
"210100100039","01JAN1998","28NOV1998","$12.20","$26.90","1.04"
"210100100039","29NOV1998","26OCT1999","$12.55","$27.70","1.03"
"210100100039","27OCT1999","22SEP2000","$12.80","$28.20","1.02"
