"Product_ID","Product_Name","Supplier_ID","Product_Level","Product_Ref_ID"
"210000000000","Children",".","4","."
"210100000000","Children Outdoors",".","3","210000000000"
"210100100000","Outdoor things, Kids",".","2","210100000000"
"210100100001","Boy's and Girl's Ski Pants with Braces","50","1","210100100000"
"210100100002","Children's Jacket","4742","1","210100100000"
"210100100003","Children's Jacket Sidney","50","1","210100100000"
"210100100004","Children's Rain Set","50","1","210100100000"
"210100100005","Children's Rain Suit","50","1","210100100000"
"210100100006","Rain Suit for Children","50","1","210100100000"
"210100100007","Rain Suit","772","1","210100100000"
"210100100008","Rain Suit Tonado","50","1","210100100000"
"210100100009","Ski Jacket Oliver","50","1","210100100000"
"210100100010","Ski Jacket w/Removable Fleece","50","1","210100100000"
"210100100011","Tiny Mouse Children's Mitten","6355","1","210100100000"
"210100100012","4ce Ace Children's Jacket","50","1","210100100000"
"210100100013","4ce Expedition Down Jacket","50","1","210100100000"
"210100100014","4ce Filip Children's Rainwear","50","1","210100100000"
"210100100015","4ce Grover Snow Jacket","50","1","210100100000"
"210100100016","4ce Jaguar Snow Pants","50","1","210100100000"
"210100100017","4ce Tiger Ski Jacket with Hood","50","1","210100100000"
"210100100018","Amarone Children's Shorts","50","1","210100100000"
"210100100019","Blondie Girl's Ski Jacket","50","1","210100100000"
"210100100020","Dean Creek Children's Vest","50","1","210100100000"
"210100100021","Down Children's Down Jacket","109","1","210100100000"
"210100100022","Down Children's Vest","109","1","210100100000"
"210100100023","Massif Freeride Jr.Gtx Gloves","13199","1","210100100000"
"210100100024","Massif Penquin Polyester Socks","13199","1","210100100000"
"210100100025","Monster Children's Pants with Zipper","50","1","210100100000"
"210100100026","Montana Children's Gloves","6355","1","210100100000"
"210100100027","Montana Children's mitten","6355","1","210100100000"
"210100100028","Ranger Children's T-Shirt","50","1","210100100000"
"210100100029","Scania Children's Gloves","6355","1","210100100000"
"210100100030","Scania Goretex Junior Gloves","6355","1","210100100000"
"210100100031","Tasmania Children's Shirt","50","1","210100100000"
"210100100032","Tony's Nuptse Jacket","15218","1","210100100000"
"210100100033","Top Children's R&D Down Jacket","14648","1","210100100000"
"210100100034","Top Children's R&D Jacket, Long","14648","1","210100100000"
"210100100035","Top Children's R&D Pants","14648","1","210100100000"
"210100100036","Top Children's Ski Pullover","14648","1","210100100000"
"210100100037","Top Junior Fleece Hat, Polyester","14648","1","210100100000"
"210100100038","Top Junior T-Neck Fleece","14648","1","210100100000"
"210100100039","Twain Flash 100 Jr. Ski Gloves","13198","1","210100100000"
"210100100040","11m Rain Jacket","772","1","210100100000"
"210100100041","11m Rain Pants","772","1","210100100000"
"210100100042","3 K Children's Shoes","2963","1","210100100000"
"210100100043","3top Children's Shoes","2963","1","210100100000"
"210100100044","3top Infant Baby Shoes","2963","1","210100100000"
