"Employee_ID","Start_Date","End_Date","Job_Title","Salary","Gender","Birth_Date","Emp_Hire_Date","Emp_Term_Date"
"120101","01JUL1999","31DEC9999","Director","$163,040.00","M","18AUG1972","01JUL1999","."
"120102","01JUN1985","31DEC9999","Sales Manager","$108,255.00","M","11AUG1965","01JUN1985","."
"120103","01JAN1970","31DEC9999","Sales Manager","$87,975.00","M","22JAN1945","01JAN1970","."
"120104","01JAN1977","31DEC9999","Clerk II","$26,365.00","F","11MAY1950","01JAN1977","."
"120105","01MAY1995","31DEC9999","Secretary I","$27,110.00","F","21DEC1970","01MAY1995","."
"120106","01JAN1970","31DEC9999","Office Assistant II","$26,960.00","M","23DEC1940","01JAN1970","."
"120107","01FEB1970","31DEC9999","Office Assistant III","$30,475.00","F","21JAN1945","01FEB1970","."
"120108","01AUG2002","31DEC9999","Warehouse Assistant II","$27,660.00","F","23FEB1980","01AUG2002","."
"120109","01OCT2002","31DEC9999","Warehouse Assistant I","$26,495.00","F","15DEC1982","01OCT2002","."
"120110","01NOV1975","31DEC9999","Warehouse Assistant III","$28,615.00","M","20NOV1945","01NOV1975","."
"120111","01NOV1970","31DEC9999","Security Guard II","$26,895.00","M","23JUL1945","01NOV1970","."
"120112","01JUL1986","31DEC9999","Security Guard I","$26,550.00","F","17FEB1965","01JUL1986","."
"120113","01JAN1970","31DEC9999","Security Guard II","$26,870.00","F","10MAY1940","01JAN1970","."
"120114","01JAN1970","31DEC9999","Security Manager","$31,285.00","F","08FEB1940","01JAN1970","."
"120115","01AUG2001","31DEC9999","Service Assistant I","$26,500.00","M","08MAY1980","01AUG2001","."
"120116","01FEB1976","31DEC9999","Service Assistant II","$29,250.00","M","13JUN1955","01FEB1976","."
"120117","01APR1982","31DEC9999","Cabinet Maker III","$31,670.00","M","11SEP1960","01APR1982","."
"120118","01JUL1980","31DEC9999","Cabinet Maker II","$28,090.00","M","03JUN1955","01JUL1980","."
"120119","01JAN1994","31DEC9999","Electrician IV","$30,255.00","M","21DEC1965","01JAN1994","."
"120120","01JAN1970","31DEC9999","Electrician II","$27,645.00","F","05MAY1940","01JAN1970","."
"120121","01JAN1970","31DEC9999","Sales Rep. II","$26,600.00","F","02AUG1940","01JAN1970","."
"120122","01JUL1974","31DEC9999","Sales Rep. II","$27,475.00","F","27JUL1950","01JUL1974","."
"120123","01OCT1981","31JAN2001","Sales Rep. I","$26,190.00","F","28SEP1960","01OCT1981","31JAN2001"
"120124","01MAR1975","31DEC9999","Sales Rep. I","$26,480.00","M","13MAY1955","01MAR1975","."
"120125","01MAR1975","31JUL2000","Sales Rep. IV","$32,040.00","M","06DEC1950","01MAR1975","31JUL2000"
"120126","01AUG2002","31DEC9999","Sales Rep. II","$26,780.00","M","20SEP1984","01AUG2002","."
"120127","01NOV1994","31DEC9999","Sales Rep. II","$28,100.00","F","04JAN1975","01NOV1994","."
"120128","01NOV2002","31DEC9999","Sales Rep. IV","$30,890.00","F","14JUL1982","01NOV2002","."
"120129","01OCT1981","31MAR1999","Sales Rep. III","$30,070.00","M","22NOV1960","01OCT1981","31MAR1999"
"120130","01MAY2002","31DEC9999","Sales Rep. I","$26,955.00","M","14DEC1980","01MAY2002","."
"120131","01JAN1999","31DEC9999","Sales Rep. I","$26,910.00","M","25SEP1975","01JAN1999","."
"120132","01OCT1974","31DEC9999","Sales Rep. III","$28,525.00","F","05APR1945","01OCT1974","."
"120133","01OCT2002","31DEC9999","Sales Rep. II","$27,440.00","F","22APR1982","01OCT2002","."
"120134","01JAN1970","30JUN2002","Sales Rep. II","$28,015.00","M","06JUN1945","01JAN1970","30JUN2002"
"120135","01OCT1993","30APR2000","Sales Rep. IV","$32,490.00","M","26JAN1965","01OCT1993","30APR2000"
"120136","01FEB1999","31DEC9999","Sales Rep. I","$26,605.00","M","16SEP1975","01FEB1999","."
"120137","01MAR2002","31DEC9999","Sales Rep. III","$29,715.00","F","12MAR1975","01MAR2002","."
"120138","01JUL2002","31DEC9999","Sales Rep. I","$25,795.00","F","11JUL1975","01JUL2002","."
"120139","01SEP2002","31DEC9999","Sales Rep. II","$26,810.00","F","18AUG1982","01SEP2002","."
"120140","01OCT2002","31DEC9999","Sales Rep. I","$26,970.00","M","03AUG1984","01OCT2002","."
"120141","01MAY2002","31DEC9999","Sales Rep. II","$27,465.00","F","12MAR1984","01MAY2002","."
"120142","01JUL2002","31DEC9999","Sales Rep. III","$29,695.00","M","14JUN1982","01JUL2002","."
"120143","01OCT1978","31DEC9999","Sales Rep. II","$26,790.00","M","17MAY1955","01OCT1978","."
"120144","01OCT2002","31DEC9999","Sales Rep. III","$30,265.00","M","07MAR1982","01OCT2002","."
"120145","01JUN1981","31DEC9999","Sales Rep. II","$26,060.00","M","22JAN1960","01JUN1981","."
"120146","01AUG1976","30SEP2001","Sales Rep. I","$25,985.00","M","02OCT1955","01AUG1976","30SEP2001"
"120147","01OCT2002","31DEC9999","Sales Rep. II","$26,580.00","F","19JAN1984","01OCT2002","."
"120148","01JUN1974","31DEC9999","Sales Rep. III","$28,480.00","M","13SEP1945","01JUN1974","."
"120149","01JAN1989","31DEC9999","Sales Rep. I","$26,390.00","F","21NOV1970","01JAN1989","."
"120150","01AUG1978","30APR2000","Sales Rep. III","$29,965.00","M","09JUL1950","01AUG1978","30APR2000"
"120151","01JAN1970","31DEC9999","Sales Rep. II","$26,520.00","F","21NOV1940","01JAN1970","."
"120152","01APR2001","31DEC9999","Sales Rep. I","$26,515.00","M","01MAY1975","01APR2001","."
"120153","01JAN1994","31JAN2002","Sales Rep. I","$27,260.00","F","07MAY1975","01JAN1994","31JAN2002"
"120154","01JAN1970","31DEC9999","Sales Rep. III","$30,490.00","F","20JUL1940","01JAN1970","."
"120155","01APR2002","31DEC9999","Sales Rep. III","$29,990.00","F","22APR1980","01APR2002","."
"120156","01MAR2002","31DEC9999","Sales Rep. I","$26,445.00","F","01SEP1984","01MAR2002","."
"120157","01DEC2002","31DEC9999","Sales Rep. II","$27,860.00","M","21FEB1982","01DEC2002","."
"120158","01JUL1983","31AUG2001","Sales Rep. III","$36,605.00","M","14JUL1960","01JUL1983","31AUG2001"
"120159","01JUL1982","31DEC9999","Sales Rep. IV","$30,765.00","F","24FEB1960","01JUL1982","."
"120160","01OCT1970","31DEC9999","Sales Rep. I","$27,115.00","M","09SEP1950","01OCT1970","."
"120161","01OCT2002","31DEC9999","Sales Rep. III","$30,785.00","F","07MAR1984","01OCT2002","."
"120162","01FEB2002","31DEC9999","Sales Rep. I","$27,215.00","M","05SEP1984","01FEB2002","."
"120163","01JAN1987","31DEC9999","Sales Rep. II","$26,735.00","M","22MAY1960","01JAN1987","."
"120164","01FEB1978","31DEC9999","Sales Rep. II","$27,450.00","F","26NOV1955","01FEB1978","."
"120165","01MAR2002","31DEC9999","Sales Rep. I","$27,050.00","M","19MAR1980","01MAR2002","."
"120166","01JAN1970","31AUG2002","Sales Rep. IV","$30,660.00","M","14JUN1940","01JAN1970","31AUG2002"
"120167","01FEB1970","31MAR2002","Sales Rep. I","$25,185.00","F","04MAY1950","01FEB1970","31MAR2002"
"120168","01NOV2002","31DEC9999","Sales Rep. I","$25,275.00","F","24MAR1980","01NOV2002","."
"120169","01MAY2002","31DEC9999","Sales Rep. III","$28,135.00","M","02JAN1980","01MAY2002","."
"120170","01OCT1988","31OCT2002","Sales Rep. III","$28,830.00","M","25FEB1970","01OCT1988","31OCT2002"
"120171","01SEP2002","31DEC9999","Sales Rep. II","$26,205.00","F","19JUL1980","01SEP2002","."
"120172","01JAN1970","31DEC9999","Sales Rep. III","$28,345.00","M","01APR1940","01JAN1970","."
"120173","01JUN1973","31JUL2000","Sales Rep. I","$26,715.00","M","23FEB1950","01JUN1973","31JUL2000"
"120174","01JAN1970","30OCT2001","Sales Rep. I","$26,850.00","F","10JAN1940","01JAN1970","30OCT2001"
"120175","01OCT2002","31DEC9999","Sales Rep. I","$25,745.00","M","18AUG1984","01OCT2002","."
"120176","01NOV2002","31DEC9999","Sales Rep. I","$26,095.00","M","09NOV1982","01NOV2002","."
"120177","01FEB1994","31DEC9999","Sales Rep. III","$28,745.00","F","05APR1975","01FEB1994","."
"120178","01APR1970","31DEC9999","Sales Rep. II","$26,165.00","M","23NOV1950","01APR1970","."
"120179","01JAN2000","31AUG2000","Sales Rep. III","$28,510.00","M","15MAR1970","01JAN2000","31AUG2000"
"120180","01DEC1974","31DEC9999","Sales Rep. II","$26,970.00","M","27JUN1950","01DEC1974","."
"120181","01DEC2002","31MAR2003","Temp. Sales Rep.","$27,065.00","F","28NOV1984","01DEC2002","31MAR2003"
"120182","01DEC2002","31DEC2002","Temp. Sales Rep.","$25,020.00","M","05OCT1980","01DEC2002","31DEC2002"
"120183","01DEC2002","31DEC2002","Temp. Sales Rep.","$26,910.00","M","10SEP1965","01DEC2002","31DEC2002"
"120184","01DEC2002","30APR2003","Temp. Sales Rep.","$25,820.00","M","01DEC1945","01DEC2002","30APR2003"
"120185","01DEC2002","31JAN2003","Temp. Sales Rep.","$25,080.00","F","07APR1970","01DEC2002","31JAN2003"
"120186","01DEC2002","30JUN2003","Temp. Sales Rep.","$26,795.00","F","19APR1975","01DEC2002","30JUN2003"
"120187","01DEC2002","31MAY2003","Temp. Sales Rep.","$26,665.00","F","10DEC1980","01DEC2002","31MAY2003"
"120188","01DEC2002","31DEC2002","Temp. Sales Rep.","$26,715.00","F","01MAR1950","01DEC2002","31DEC2002"
"120189","01DEC2002","31MAR2003","Temp. Sales Rep.","$25,180.00","M","03JUL1980","01DEC2002","31MAR2003"
"120190","01NOV2000","30APR2001","Trainee","$24,100.00","M","05DEC1980","01NOV2000","30APR2001"
"120191","01JAN1999","30JUN1999","Trainee","$24,015.00","F","17JAN1955","01JAN1999","30JUN1999"
"120192","01JUN2001","30NOV2001","Trainee","$26,185.00","M","08MAY1980","01JUN2001","30NOV2001"
"120193","01SEP2001","28FEB2002","Trainee","$24,515.00","M","06DEC1980","01SEP2001","28FEB2002"
"120194","01FEB2001","31JUL2001","Trainee","$25,985.00","M","23SEP1980","01FEB2001","31JUL2001"
"120195","01JUL2002","31DEC2002","Trainee","$24,990.00","F","25DEC1980","01JUL2002","31DEC2002"
"120196","01JAN1999","30JUN1999","Trainee","$24,025.00","F","31JAN1980","01JAN1999","30JUN1999"
"120197","01JAN1999","30JUN1999","Trainee","$25,580.00","F","08AUG1950","01JAN1999","30JUN1999"
"120198","01DEC2002","31DEC9999","Sales Rep. III","$28,025.00","F","21JAN1984","01DEC2002","."
"120199","01JAN1999","31DEC9999","Office Assistant I","$26,400.00","F","07JAN1945","01JAN1999","."
"120200","01JAN1999","31DEC9999","Office Assistant II","$26,155.00","F","02AUG1955","01JAN1999","."
"120201","01JAN1999","31DEC9999","Clerk II","$27,805.00","M","20JUL1970","01JAN1999","."
"120202","01JAN1999","31DEC9999","Warehouse Assistant III","$29,370.00","F","18SEP1950","01JAN1999","."
"120203","01JAN1999","31DEC9999","Warehouse Assistant II","$28,455.00","F","01MAY1945","01JAN1999","."
"120204","01NOV2002","31DEC9999","Security Guard I","$25,045.00","M","21APR1982","01NOV2002","."
"120205","01JAN1999","31DEC9999","Security Guard I","$30,980.00","M","15MAR1955","01JAN1999","."
"120206","01JAN1999","31DEC9999","Security Manager","$30,665.00","F","16NOV1970","01JAN1999","."
"120207","01JAN1999","31DEC9999","Service Assistant I","$26,010.00","M","27FEB1960","01JAN1999","."
"120208","01JAN1999","31DEC9999","Service Assistant III","$30,860.00","M","15JUL1960","01JAN1999","."
"120209","01JAN1999","31DEC9999","Service Assistant I","$27,000.00","F","06JUL1965","01JAN1999","."
"120210","01JAN1999","31DEC9999","Cabinet Maker II","$29,805.00","F","09MAY1945","01JAN1999","."
"120211","01JAN1999","31DEC9999","Electrician I","$27,260.00","M","16NOV1945","01JAN1999","."
"120212","01JAN1999","31AUG2002","Sales Rep. I","$26,720.00","M","06APR1955","01JAN1999","31AUG2002"
"120213","01JAN1999","31DEC9999","Sales Rep. II","$27,310.00","M","16OCT1950","01JAN1999","."
"120214","01OCT2002","31DEC9999","Sales Rep. I","$26,030.00","F","08FEB1975","01OCT2002","."
"120215","01JAN1999","30NOV2002","Sales Rep. I","$26,600.00","F","09JUL1950","01JAN1999","30NOV2002"
"120216","01JAN1999","31DEC9999","Sales Rep. II","$27,935.00","M","23MAR1960","01JAN1999","."
"120217","01JAN1999","31DEC9999","Sales Rep. II","$28,230.00","M","24FEB1965","01JAN1999","."
"120218","01APR2002","31DEC9999","Sales Rep. I","$26,630.00","F","22OCT1980","01APR2002","."
"120219","01JAN1999","31DEC9999","Sales Rep. IV","$32,470.00","F","01MAR1960","01JAN1999","."
"120220","01JAN1999","31DEC9999","Sales Rep. II","$27,365.00","M","19MAY1965","01JAN1999","."
"120221","01JAN1999","31DEC9999","Sales Rep. II","$26,860.00","F","14MAY1960","01JAN1999","."
"120222","01JAN1999","31DEC9999","Sales Rep. II","$27,080.00","M","04NOV1960","01JAN1999","."
"120223","01MAY2002","31DEC9999","Sales Rep. I","$27,265.00","M","21APR1984","01MAY2002","."
"120224","01JAN1999","30APR2000","Sales Rep. II","$26,350.00","F","21SEP1955","01JAN1999","30APR2000"
"120225","01JAN2003","31DEC9999","Sales Rep. I","$25,240.00","F","26JUN1984","01JAN2003","."
"120226","01NOV2002","31DEC9999","Sales Rep. II","$28,185.00","M","11JAN1984","01NOV2002","."
"120227","01FEB2002","31DEC9999","Sales Rep. I","$27,485.00","M","28AUG1984","01FEB2002","."
"120228","01JAN1999","30APR2000","Sales Rep. II","$26,500.00","F","06AUG1965","01JAN1999","30APR2000"
"120229","01JAN1999","31DEC9999","Sales Rep. II","$27,185.00","M","23MAR1975","01JAN1999","."
"120230","01JAN1999","31DEC2000","Sales Rep. I","$27,155.00","M","03JUN1965","01JAN1999","31DEC2000"
"120231","01JAN1999","31DEC9999","Sales Rep. II","$27,070.00","M","08SEP1960","01JAN1999","."
"120232","01JAN1999","31JUL2001","Sales Rep. II","$27,800.00","F","15NOV1940","01JAN1999","31JUL2001"
"120233","01JAN1999","31DEC9999","Sales Rep. I","$26,020.00","F","14DEC1950","01JAN1999","."
"120234","01JAN1999","31DEC9999","Sales Rep. II","$26,515.00","F","26JUN1945","01JAN1999","."
